date,location_name,horizon,model,value
2024-12-14,Alabama,1,arima,109.57877147955308
2024-12-21,Alabama,2,arima,106.68073936555543
2024-12-28,Alabama,3,arima,107.28287830085159
2025-01-04,Alabama,4,arima,109.61879131682662
2024-12-14,Alaska,1,arima,13.311225720593928
2024-12-21,Alaska,2,arima,14.401071837419792
2024-12-28,Alaska,3,arima,14.592709464815028
2025-01-04,Alaska,4,arima,14.650220283228135
2024-12-14,Arizona,1,arima,998.2002582414793
2024-12-21,Arizona,2,arima,1046.489694728916
2024-12-28,Arizona,3,arima,1066.8184320233445
2025-01-04,Arizona,4,arima,1075.9643412555827
2024-12-14,Arkansas,1,arima,21.644006844733685
2024-12-21,Arkansas,2,arima,26.104225798391163
2024-12-28,Arkansas,3,arima,29.36674435551019
2025-01-04,Arkansas,4,arima,32.407945380805046
2024-12-14,California,1,arima,952.655382091958
2024-12-21,California,2,arima,911.4200029545682
2024-12-28,California,3,arima,847.3859770990109
2025-01-04,California,4,arima,780.9066725795283
2024-12-14,Colorado,1,arima,96.70092275392173
2024-12-21,Colorado,2,arima,101.47166903828253
2024-12-28,Colorado,3,arima,103.24527734234772
2025-01-04,Colorado,4,arima,104.29415923334292
2024-12-14,Connecticut,1,arima,14.682108313947971
2024-12-21,Connecticut,2,arima,14.646535190638637
2024-12-28,Connecticut,3,arima,15.060637210140122
2025-01-04,Connecticut,4,arima,14.896127219938748
2024-12-14,Delaware,1,arima,13.148038098967769
2024-12-21,Delaware,2,arima,13.439419534366738
2024-12-28,Delaware,3,arima,12.377058714192216
2025-01-04,Delaware,4,arima,11.761526988179337
2024-12-14,District of Columbia,1,arima,2.589541212313462
2024-12-21,District of Columbia,2,arima,3.1108101507722874
2024-12-28,District of Columbia,3,arima,3.571713138598548
2025-01-04,District of Columbia,4,arima,3.979240901168184
2024-12-14,Florida,1,arima,661.0393700787401
2024-12-21,Florida,2,arima,662.0787401574803
2024-12-28,Florida,3,arima,663.1181102362204
2025-01-04,Florida,4,arima,664.1574803149606
2024-12-14,Georgia,1,arima,89.9064294599579
2024-12-21,Georgia,2,arima,91.57672138524777
2024-12-28,Georgia,3,arima,88.89510831479869
2025-01-04,Georgia,4,arima,88.46980696981106
2024-12-14,Hawaii,1,arima,19.422878541354734
2024-12-21,Hawaii,2,arima,20.01961454222016
2024-12-28,Hawaii,3,arima,21.03678592501012
2025-01-04,Hawaii,4,arima,20.975932708916133
2024-12-14,Idaho,1,arima,70.99036539679814
2024-12-21,Idaho,2,arima,69.07001169027473
2024-12-28,Idaho,3,arima,63.7059286531595
2025-01-04,Idaho,4,arima,56.86407320504327
2024-12-14,Illinois,1,arima,106.34423592062649
2024-12-21,Illinois,2,arima,111.04264012610636
2024-12-28,Illinois,3,arima,113.73411474979298
2025-01-04,Illinois,4,arima,115.31271915041728
2024-12-14,Indiana,1,arima,73.29519577424426
2024-12-21,Indiana,2,arima,76.44364155272186
2024-12-28,Indiana,3,arima,76.91683264138716
2025-01-04,Indiana,4,arima,76.29742528068476
2024-12-14,Iowa,1,arima,15.84497635825061
2024-12-21,Iowa,2,arima,18.724493534130687
2024-12-28,Iowa,3,arima,20.95560306716818
2025-01-04,Iowa,4,arima,22.30584336717071
