location_name,horizon,value,date
Alabama,2,58.14753929023451,2024-11-30
Alaska,2,12.135406116503574,2024-11-30
Arizona,2,827.770498582996,2024-11-30
Arkansas,2,16.99580245749126,2024-11-30
California,2,483.9657198360775,2024-11-30
Colorado,2,44.22493445162039,2024-11-30
Connecticut,2,37.79912715776988,2024-11-30
Delaware,2,9.9175571140472,2024-11-30
District of Columbia,2,7.53217082038045,2024-11-30
Florida,2,458.1798664267336,2024-11-30
Georgia,2,68.07922970222032,2024-11-30
Hawaii,2,12.597637622717182,2024-11-30
Idaho,2,10.810443614638304,2024-11-30
Illinois,2,62.53051418537875,2024-11-30
Indiana,2,119.26411271785406,2024-11-30
Iowa,2,24.096697776382147,2024-11-30
Kansas,2,17.137518685069324,2024-11-30
Kentucky,2,52.24373173035869,2024-11-30
Louisiana,2,97.37770692345573,2024-11-30
Maine,2,13.042513806867985,2024-11-30
Maryland,2,2.781812258459805,2024-11-30
Massachusetts,2,36.648967910269604,2024-11-30
Michigan,2,161.6960925346309,2024-11-30
Minnesota,2,69.27238336953499,2024-11-30
Mississippi,2,34.88554685351179,2024-11-30
Missouri,2,61.33448497262291,2024-11-30
Montana,2,13.149828700741041,2024-11-30
Nebraska,2,12.892685254343691,2024-11-30
Nevada,2,107.22204261203665,2024-11-30
New Hampshire,2,24.775531021695542,2024-11-30
New Jersey,2,98.46941291995712,2024-11-30
New Mexico,2,31.199669838828235,2024-11-30
New York,2,87.10727186035201,2024-11-30
North Carolina,2,81.62267896524845,2024-11-30
North Dakota,2,10.066389910992966,2024-11-30
Ohio,2,501.4155064522215,2024-11-30
Oklahoma,2,46.40806748591163,2024-11-30
Oregon,2,33.380052934536614,2024-11-30
Pennsylvania,2,162.32531521634834,2024-11-30
Puerto Rico,2,65.4804439257314,2024-11-30
Rhode Island,2,1.8301089285382437,2024-11-30
South Carolina,2,21.834464363970113,2024-11-30
South Dakota,2,5.534191550233447,2024-11-30
Tennessee,2,85.37745349234237,2024-11-30
Texas,2,370.67166709899067,2024-11-30
US,2,4032.45130428112,2024-11-30
Utah,2,7.7527080265295,2024-11-30
Vermont,2,4.03924322955643,2024-11-30
Virginia,2,69.1457716352341,2024-11-30
Washington,2,53.07756336367991,2024-11-30
West Virginia,2,10.018807065409248,2024-11-30
Wisconsin,2,35.63798919965063,2024-11-30
Wyoming,2,13.76088694238647,2024-11-30
