"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value","model"
2024-12-14,"Alabama",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,111.086261188198,"argo2_raw"
2024-12-14,"Alabama",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,109.275375928583,"argo2_raw"
2024-12-14,"Alabama",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,98.0909908214942,"argo2_raw"
2024-12-14,"Alabama",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,103.601051397064,"argo2_raw"
2024-12-14,"Alaska",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,13.2518553348681,"argo2_raw"
2024-12-14,"Alaska",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,11.9819107873372,"argo2_raw"
2024-12-14,"Alaska",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,11.4279077002617,"argo2_raw"
2024-12-14,"Alaska",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,11.3667010705488,"argo2_raw"
2024-12-14,"Arizona",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,923.865763917379,"argo2_raw"
2024-12-14,"Arizona",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,890.808992429516,"argo2_raw"
2024-12-14,"Arizona",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,896.346930416967,"argo2_raw"
2024-12-14,"Arizona",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,931.77647474844,"argo2_raw"
2024-12-14,"Arkansas",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,30.0150497568057,"argo2_raw"
2024-12-14,"Arkansas",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,32.6764314989285,"argo2_raw"
2024-12-14,"Arkansas",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,19.8094621027825,"argo2_raw"
2024-12-14,"Arkansas",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,17.9751826393709,"argo2_raw"
2024-12-14,"California",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,974.943149363568,"argo2_raw"
2024-12-14,"California",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,932.260698714574,"argo2_raw"
2024-12-14,"California",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,879.044583699262,"argo2_raw"
2024-12-14,"California",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,917.162769948294,"argo2_raw"
2024-12-14,"Colorado",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,101.045877671538,"argo2_raw"
